code_2010,name_2010,code_2015,name_2015,weight_2015,relation
4461,防虫剤,4461,防虫剤,1,1:1
4471,芳香消臭剤,4471,芳香・消臭剤,6,renamed
4501,家事代行料,4501,家事代行料,4,1:1
4510,し尿処理手数料,,,0,abolished
,,4515,浄化槽清掃代,12,new
4521,リサイクル料金,4521,リサイクル料金,4,1:1
4610,下水道料,4610,下水道料,73,1:1
4701,モップレンタル料,4701,モップレンタル料,8,1:1
5011,婦人着物,5011,婦人用着物,4,renamed
5041,婦人帯,5041,婦人用帯,2,renamed
5101,背広服（夏物，中級品）,5101,背広服（春夏物，中級品）,6,renamed
5102,背広服（冬物，中級品）,5102,背広服（秋冬物，中級品）,6,renamed
5103,背広服（夏物，普通品）,5103,背広服（春夏物，普通品）,4,renamed
5104,背広服（冬物，普通品）,5104,背広服（秋冬物，普通品）,4,renamed
5111,男子上着,5111,男子用上着,7,renamed
5121,男子ズボン（冬物）,5121,男子用ズボン（秋冬物）,6,renamed
5122,男子ズボン（夏物）,5122,男子用ズボン（春夏物）,7,renamed
5123,男子ズボン（ジーンズ）,5123,男子用ズボン（ジーンズ）,2,renamed
5131,男子コート,5131,男子用コート,5,renamed
5141,男子学生服,5141,男子用学校制服,5,renamed
5161,ワンピース（春夏物）,5161,ワンピース（春夏物）,7,1:1
5162,婦人スーツ（秋冬物，中級品）,5162,婦人用スーツ（秋冬物，中級品）,4,renamed
5163,ワンピース（秋冬物）,5163,ワンピース（秋冬物）,6,1:1
5166,婦人スーツ（春夏物，中級品）,5166,婦人用スーツ（春夏物，中級品）,6,renamed
5167,婦人スーツ（春夏物，普通品）,5167,婦人用スーツ（春夏物，普通品）,3,renamed
5168,婦人スーツ（秋冬物，普通品）,5168,婦人用スーツ（秋冬物，普通品）,3,renamed
5169,スカート（春夏物）,5169,スカート（春夏物）,4,1:1
5172,スカート（秋冬物）,5172,スカート（秋冬物）,4,1:1
5179,婦人スラックス（ジーンズ）,5179,婦人用スラックス（ジーンズ）,16,renamed
5181,婦人スラックス（冬物）,5181,婦人用スラックス（秋冬物）,12,renamed
5182,婦人コート,5182,婦人用コート,14,renamed
5183,婦人上着,5183,婦人用上着,11,renamed
5184,女子学生服,5184,女子用学校制服,5,renamed
5191,男児ズボン,5191,男児用ズボン,7,renamed
5192,女児スカート,5192,女児用スカート,11,renamed
5193,乳児服,5193,乳児服,3,1:1
5202,ワイシャツ（長袖）,5202,ワイシャツ（長袖）,6,1:1
5203,ワイシャツ（半袖）,5203,ワイシャツ（半袖）,1,1:1
5211,スポーツシャツ（長袖）,5211,男子用スポーツシャツ（長袖）,4,renamed
5212,スポーツシャツ（半袖）,5212,男子用スポーツシャツ（半袖）,9,renamed
5221,男子セーター,5221,男子用セーター,6,renamed
5231,ブラウス（長袖）,5231,ブラウス（長袖）,4,1:1
5232,ブラウス（半袖）,5232,ブラウス（半袖）,7,1:1
5233,婦人Ｔシャツ（長袖）,5233,婦人用Ｔシャツ（長袖）,10,renamed
5234,婦人Ｔシャツ（半袖）,5234,婦人用Ｔシャツ（半袖）,14,renamed
5241,婦人セーター（長袖）,5241,婦人用セーター（長袖）,15,renamed
5242,婦人セーター（半袖）,5242,婦人用セーター（半袖）,4,renamed
5243,子供Ｔシャツ（長袖）,5243,子供用Ｔシャツ（長袖）,3,renamed
5244,子供Ｔシャツ（半袖）,5244,子供用Ｔシャツ（半袖）,3,renamed
5301,男子シャツ,5301,男子用シャツ（半袖）,5,renamed
5311,男子パンツ,5311,男子用パンツ,5,renamed
5331,男子パジャマ,5331,男子用パジャマ,3,renamed
5341,ブラジャー,5341,ブラジャー,3,1:1
