code_2015,name_2015,weight_2015,code_2020,name_2020,weight_2020,relation
2145,焼肉（外食）,57,2145,焼肉（外食）,48,1:1
2146,しょうが焼き定食（外食）,28,2146,しょうが焼き定食（外食）,7,1:1
2161,サンドイッチ（外食）,15,2161,サンドイッチ（外食）,11,1:1
2162,コーヒー（外食）Ａ,13,2162,コーヒー（外食）Ａ,14,1:1
2163,ドーナツ（外食）,4,2163,ドーナツ（外食）,2,1:1
2164,フライドチキン（外食）,6,2164,フライドチキン（外食）,15,1:1
2165,コーヒー（外食）Ｂ,6,2165,コーヒー（外食）Ｂ,7,1:1
2171,ビール（外食）,55,2171,ビール（外食）,32,1:1
2172,やきとり（外食）,18,2172,やきとり（外食）,21,1:1
2182,学校給食（小学校）,19,2182,学校給食（小学校）,17,1:1
2183,学校給食（中学校）,9,2183,学校給食（中学校）,8,1:1
3000,民営家賃,261,3000,民営家賃,225,1:1
3016,公営家賃,9,3016,公営家賃,15,1:1
3017,都市再生機構・公社家賃,13,3017,都市再生機構・公社家賃,14,1:1
3030,持家の帰属家賃,1499,3030,持家の帰属家賃,1580,1:1
3101,システムバス,11,3101,システムバス,12,1:1
3103,温水洗浄便座,11,3103,温水洗浄便座,8,1:1
3104,給湯機,25,3104,給湯器,31,1:1
3105,システムキッチン,21,3105,システムキッチン,24,1:1
3106,カーポート,4,3106,カーポート,4,1:1
3121,修繕材料,11,3121,修繕材料,13,1:1
3151,畳替え代,4,3151,畳替え代,2,1:1
3171,ふすま張替費,3,3171,ふすま張替費,5,1:1
3172,大工手間代,22,3172,大工手間代,15,1:1
3174,植木職手間代,11,3174,植木職手間代,10,1:1
3175,塀工事費,40,3175,塀工事費,8,1:1
3176,水道工事費,15,3176,水道工事費,16,1:1
3178,外壁塗装費,40,3178,外壁塗装費,47,1:1
3179,駐車場工事費,25,3179,駐車場工事費,25,1:1
3180,火災・地震保険料,59,3180,火災・地震保険料,67,1:1
3185,壁紙張替費,6,3185,壁紙張替費,5,1:1
3500,電気代,356,3500,電気代,341,1:1
3600,都市ガス代,116,3600,都市ガス代,94,1:1
3612,プロパンガス,65,3612,プロパンガス,57,1:1
3701,灯油,41,3701,灯油,38,1:1
3810,水道料,94,3810,水道料,97,1:1
4002,電気炊飯器,11,4002,電気炊飯器,12,1:1
4003,電子レンジ,4,4003,電子レンジ,4,1:1
4011,ガステーブル,3,4011,ガステーブル,2,1:1
4021,電気冷蔵庫,16,4021,電気冷蔵庫,21,1:1
4032,電気掃除機,9,4032,電気掃除機,9,1:1
4042,電気洗濯機（全自動洗濯機）,7,4042,電気洗濯機（全自動洗濯機）,10,1:1
4043,電気洗濯機（洗濯乾燥機）,7,4043,電気洗濯機（洗濯乾燥機）,10,1:1
4063,ルームエアコン,30,4063,ルームエアコン,38,1:1
4072,温風ヒーター,4,4072,温風ヒーター,5,1:1
4075,空気清浄機,3,4075,空気清浄機,3,1:1
4083,食器戸棚,4,4083,食器戸棚,3,1:1
4092,食堂セット,9,4092,食堂セット,5,1:1
4115,照明器具,7,4115,照明器具,5,1:1
4121,カーペット,9,4121,カーペット,7,1:1
4141,カーテン,7,4141,カーテン,6,1:1
4201,ベッド,7,4201,ベッド,7,1:1
4211,布団,11,4211,布団,10,1:1
4251,敷布,3,4251,敷布,2,1:1
4271,布団カバー,3,4271,布団カバー,2,1:1
4301,茶わん,4,4301,茶わん,3,1:1
4302,皿,6,4302,皿,5,1:1
4326,水筒,5,4326,水筒,4,1:1
4331,鍋,7,4331,鍋,6,1:1
4334,フライパン,7,4334,フライパン,9,1:1
4342,スポンジたわし,3,4342,スポンジたわし,3,1:1
4352,電球・ランプ,10,4352,電球・ランプ,7,1:1
4361,タオル,14,4361,タオル,15,1:1
4362,マット,9,4362,マット,7,1:1
4372,物干し用ハンガー,3,4372,物干し用ハンガー,4,1:1
